Crop,Year,CAR,Region I,Region II,Region III,Region IV-A,MIMAROPA,Region V,Region VI,Region VII,Region VIII,Region IX,Region X,Region XI,Region XII,Region XIII,ARMM
Orange,2014,5.5563,1.5455,1.6527,5.5,4.5,3,1.9375,0.9167,0.3333,1.1489,2.5,1.913,3.5318,4.375,0.2889,0.2
Orange,2015,5.3931,1.6667,1.6722,4.6667,4.5,3,1.9763,0.8333,0.2,1.0444,3.8571,2.0256,3.4207,4.28,0.3488,0.1714
Orange,2016,4.9632,1.5,1.6125,3,3.5,3,1.7177,0.8333,0.3,0.9333,3.1429,1.8108,3.2704,3.68,0.2558,0.1714
Orange,2017,4.7154,1.5714,1.6329,0,2.5,3,1.5578,0.7917,0.3,0.7556,3.3333,1.6486,3.4681,3.48,0.1395,0.1714
Orange,2018,4.2326,1.2857,1.5507,0,2,3.3333,1.2667,0.7083,0.3,0.6591,4,1.4167,3.5338,2.8065,0.093,0.1571
Papaya,2014,8.5222,11.3526,4.5034,6.3055,11.1893,10.5617,16.9291,7.8098,23.338,5.4423,12.2867,48.2421,20.6468,51.0414,8.1034,16.8535
Papaya,2015,8.7376,11.3539,4.6501,8.5068,11.3041,10.8482,18.2664,7.7929,24.8618,5.2909,13.5143,50.4607,20.926,50.539,7.6944,16.6203
Papaya,2016,8.5253,10.8371,4.4086,7.3068,10.8354,10.8877,18.0913,7.8757,22.7632,5.1627,12.7843,48.9229,20.7968,45.511,7.5238,16.0126
Papaya,2017,9.0331,11.2756,4.3857,7.5461,10.7843,11.2461,17.7947,8.1464,23.7368,5.1504,13.0603,51.2228,20.6879,47.3318,7.6952,16.2956
Papaya,2018,8.4144,11.0863,4.2022,7.5075,10.2377,11.2228,16.5763,8.2845,24.0811,5.5039,12.944,52.4406,20.8383,48.7026,7.8,16.5031
Pineapple,2014,7.3853,7.6538,26.1328,9.9387,22.6532,5.2468,40.0945,19.8302,14.6809,12.1486,6.1738,57.7864,14.2048,32.7665,12.8311,10.8817
Pineapple,2015,7.4679,7.5769,25.4558,9.8631,22.4285,5.4634,42.4147,19.82,13.5032,12.0773,5.6361,57.7105,14.3743,32.8482,11.92,10.4659
Pineapple,2016,7.7664,9.5,25.8125,9.6964,22.6973,5.5758,28.9107,19.6357,9.334,12.4071,4.7877,57.922,14.1176,31.9071,13.1776,10.2841
Pineapple,2017,8.1522,9.5417,25.4244,10.4235,23.2278,5.5238,26.6825,19.9176,11.354,12.2944,4.6305,58.6722,14.3684,32.4692,14.9058,10.3448
Pineapple,2018,7.9681,9.2083,27.0418,8.3982,22.2513,5.3455,31.6818,20.8637,13.9194,12.3117,5.0526,59.115,14.7765,33.0549,12.4224,10.6207
Rambutan,2014,1.0667,2.0889,1.4806,0.8873,0.8937,0.5323,1.5333,2.3014,1.1429,0.3333,0.8273,2.0106,1.8548,1.2678,0.4167,0.8462
Rambutan,2015,1.2121,1.9592,1.5322,0.7397,2.1123,0.4453,1.7143,2.3467,1.6275,0.3043,4.5321,2.3492,2.1299,1.1732,0.9934,1.0385
Rambutan,2016,1.4746,2.02,1.6557,0.6351,2.2425,0.324,1.6,2.2857,1.1607,0.3214,3.939,2.4444,1.9941,0.768,0.5908,0.9259
Rambutan,2017,1.25,2.02,1.8734,0.6316,2.6081,0.2638,1.6,2.1139,0.3393,0.3333,1.6179,2.3228,1.2203,0.2935,0.5217,0.6667
Rambutan,2018,1.2727,1.9216,1.7955,0.6316,2.7236,0.2327,1.04,2.5185,0.6964,0.4231,1.7611,2.4603,1.6267,0.731,0.6297,0.963
Tamarind,2014,0.8,2.6448,4.4203,8.7432,1.2533,1.967,2.0395,0.6126,0.8264,1.4762,1.4706,2.25,8.5763,5.2222,0,0.3333
Tamarind,2015,0.9,2.7822,4.7051,7.5241,1.3067,1.9011,2.1622,0.6055,0.7164,1.5238,1.5,1.8889,8.6017,4.9565,0.05,0.1
Tamarind,2016,0.9,2.6659,4.4599,7.5426,1.2533,1.954,2.0405,0.5688,0.7364,1.381,1.3627,1.7778,8.6068,4.3556,0.1667,0.1
Tamarind,2017,1,2.8095,3.1429,7.5638,1.0933,1.9886,2.0676,0.5413,0.6727,1.381,1.1919,1.4,8.4872,4.1739,0.1667,0.1
Tamarind,2018,0.9091,2.6735,3.1955,7.6915,1.0405,1.9888,0.8324,0.5278,0.6,1.381,1.1122,1.2,8.4615,4.2,0.1667,0.0667
Watermelon,2014,5.9,27.1505,22.1781,6.5382,14.8291,10.7473,34.1132,25.164,22.8085,6.0561,11.878,6.6084,4.7652,8.7313,9.5034,1.5667
Watermelon,2015,7.05,29.0572,22.541,6.8036,17.5595,10.8942,34.1341,27.0655,22.4423,5.7851,12.76,6.702,4.9083,8.3937,10.3793,2
Watermelon,2016,7,28.8004,23.5455,6.6193,17.256,10.3739,35.3129,28.5371,22.1552,5.6333,16.9804,6.9783,4.5228,9.1494,10.4321,1.8043
Watermelon,2017,7.1,28.0893,30.9103,6.2506,14.9811,10.6435,32.1243,28.2966,25.0862,5.7679,19.0465,6.9907,4.6339,8.7083,10.2363,1.7609
Watermelon,2018,6.7619,32.3786,30.4417,5.9575,15.5316,11.5502,6.6402,26.5459,19.0741,6.0545,16.6591,7.0155,4.7336,8.0213,10.9135,2.2245
Coconut,2014,3.2403,3.2956,4.9545,7.1916,3.0603,3.9535,2.4783,3.3063,3.5467,3.7006,3.9755,6.071,6.542,5.7584,4.2987,4.1361
Coconut,2015,3.082,3.1746,5.0967,6.3202,3.0726,3.9124,2.4355,3.7545,3.4577,3.6201,3.9975,6.1149,6.2831,5.9805,4.2109,4.2392
Coconut,2016,2.7653,3.1638,5.0624,3.6148,3.1273,3.5348,2.3795,3.9561,3.2316,3.35,3.6097,5.9521,5.3005,5.0217,4.0176,4.1508
Coconut,2017,2.9459,3.4906,4.8585,3.7874,3.1931,3.5608,2.3705,4.2345,3.4671,3.3079,3.7451,5.9675,5.2715,4.868,3.9721,3.9926
Coconut,2018,2.8204,3.3874,4.7917,3.8424,3.4621,3.6067,2.6145,4.2084,3.5622,3.3239,3.8909,6.0521,5.3992,5.79,4.0379,4.0298
Coffee,2014,0.786,0.4855,0.2554,0.8631,0.3484,0.1922,0.377,0.44,0.127,0.3526,1.0888,0.457,0.5479,1.0592,0.3198,0.755
Coffee,2015,0.7857,0.2273,0.2543,0.8426,0.1694,0.1908,0.4016,0.4455,0.1228,0.343,1.0958,0.4643,0.6735,1.0085,0.3727,0.7548
Coffee,2016,0.591,0.2873,0.2178,0.6935,0.2092,0.1796,0.3847,0.4401,0.0755,0.4201,0.8427,0.4771,0.6624,0.9432,0.4088,0.7421
Coffee,2017,0.2999,0.2157,0.2114,0.7388,0.1583,0.1727,0.4142,0.4478,0.0933,0.3879,0.5692,0.4909,0.6632,0.8402,0.3529,0.7306
Coffee,2018,0.3675,0.2013,0.1996,0.7008,0.1548,0.1701,0.4758,0.4259,0.0895,0.3211,0.5826,0.4926,0.6642,0.7566,0.3562,0.7503
Sugarcane,2014,40.8455,43.7937,35.1022,52.2574,60.458,0,46.8787,67.3862,47.0709,40.815,3.3103,47.7871,41.9657,56.9482,0.25,58.8774
Sugarcane,2015,42.6933,43.7489,36.129,44.1347,58.2803,0,47.5169,61.6304,44.1044,24.0497,3.2424,46.9292,47.1736,55.2393,0.2,62.6897
Sugarcane,2016,38.5401,43.8812,35.8511,46.7532,60.9246,0,52.504,63.7442,41.4665,51.6437,3.0606,45.0418,26.5773,43.2516,0.2,22.3457
Sugarcane,2017,22.5886,44.2076,33.9426,50.2002,63.5984,0,48.8841,84.0357,60.6151,36.5666,3,50.4658,47.0966,51.1703,0.2,68.088
Sugarcane,2018,28.4936,43.7254,32.3435,47.1493,58.8278,0,45.7464,66.998,54.4188,30.8819,3.0313,40.1289,42.2156,48.2097,0.2286,71.0304
Cabbage,2014,18.7208,8.6425,6.1606,0,6.3692,1.4286,8.9048,6.7846,12.5187,5.5417,8.5889,12.9287,7.3605,7.1416,2,6.8657
Cabbage,2015,18.4503,8.6853,8.0471,0,6.088,1.4348,11.2,7.1176,13.0568,5.52,10.1667,13.0824,7.3048,7.2222,1,6.8507
Cabbage,2016,18.4403,8.7534,7.3945,10,5.4375,1.5,12.6667,6.7164,13.4193,5.48,11.0946,13.048,7.3473,7.8693,0.75,6.6957
Cabbage,2017,18.4157,8.9918,7.4664,5,5.4513,1.5,12.4444,7.058,12.7523,5.3182,11.4493,13.269,8.5746,7.7365,0.75,6.2647
Cabbage,2018,18.2561,9.1941,6.531,5,4.7379,1.5,13.375,7.3333,12.4211,4.1579,11.2174,13.2552,8.9714,7.7826,0.8,5.4286
Carrots,2014,18.236,1,6.3587,0,4.7143,3,4.4,5.76,6.2192,3,3.8415,9.5758,3.6361,3.4497,0.5,0
Carrots,2015,18.1651,1,6.6111,0,5.1667,3,4.4,5.6,5.8789,3,4.2466,10.0163,3.6543,3.5906,0,0
Carrots,2016,18.0934,0,6.5341,1,4.2857,2,3.6,6,5.645,3,4.3472,10.2167,3.6076,3.969,0,0
Carrots,2017,17.9057,0,6.5604,1,5,2,3.4,6.2083,4.8188,2,4.5441,10.479,3.7898,4.0781,0,0
Carrots,2018,18.1125,0,6.7283,1,3.2857,2,2.6,6.5833,4.9656,1,4.697,10.7607,4.096,4.168,10,0
Cassava,2014,18.6214,9.2319,15.7308,11.481,6.7266,7.3173,4.8989,9.3152,10.3386,4.797,12.8065,25.6992,7.6678,28.45,6.2704,10.656
Cassava,2015,20.2989,8.9974,16.9386,10.6031,7.0751,7.5332,4.8504,9.2696,12.1314,5.3291,13.5882,26.1197,7.7553,27.7127,6.6866,10.5297
Cassava,2016,19.1938,9.128,16.3606,10.8795,6.9481,7.0276,4.7405,9.3033,11.9605,5.4943,12.6527,25.338,8.9653,27.1372,8.8634,10.2574
Cassava,2017,19.0325,9.5145,14.7385,10.4008,6.5913,7.7682,4.5012,9.2383,10.182,5.5805,13.0231,25.7471,8.3441,23.9679,8.0648,10.4421
Cassava,2018,20.5696,9.8433,14.5171,10.2828,5.8565,7.7795,4.0757,9.0815,8.2579,5.8799,13.4655,25.9554,8.5459,24.0721,7.9233,10.7478
Eggplant,2014,6.5102,15.9791,10.0474,7.5083,21.0457,3.8449,5.2355,11.2282,6.8173,6.1944,8.2422,5.6961,6.0749,11.3832,7.0464,3.0884
Eggplant,2015,6.6327,16.271,10.9407,8.3623,25.3017,3.9096,4.9494,10.9452,6.7803,6.4543,9.176,5.6787,6.1526,10.5055,6.9164,3.1302
Eggplant,2016,6.1032,17.0622,10.1084,8.3057,24.739,4.0182,4.9047,11.2293,7.0038,6.189,9.2383,5.6367,5.9246,10.3556,8.1429,3.1852
Eggplant,2017,6.3248,17.4841,11.093,9.1109,21.5793,4.7817,4.9604,10.9642,7.0292,6.3937,9.311,5.6938,5.8809,10.8941,8.1008,3.2661
Eggplant,2018,6.0629,18.0642,10.3218,8.9512,21.1039,4.7483,4.9817,11.1143,6.5117,6.8311,9.4277,5.8022,6.0406,11.8478,8.3354,3.354
Garlic(Bulb),2014,1.5714,3.1958,4.0392,2.7368,1.5574,6.0033,0,4.7619,5,2,0,0,0,0,0,0
Garlic(Bulb),2015,1.7143,3.5002,4.3605,2.7556,1.88,6.329,0,4.0455,3.3333,2,0,0,0,0,0,0
Garlic(Bulb),2016,1.6667,2.2284,4.2752,2.9153,1.913,6.2295,0,3.95,0,2,0,0,0,0,0,0
Garlic(Bulb),2017,0.1667,2.562,4.336,1.9407,1.8095,6.4868,0,4,0,2,0,0,0,0,0,0
Garlic(Bulb),2018,0.5,2.5078,4.373,1.1217,1.675,6.5551,0,4.0455,0,2,0,0,0,0,0,0
Ginger,2014,6.9051,6.587,6.8406,6.5815,10.2707,4.2117,3.8659,6.486,5.9842,7.38,5.9558,8.0665,3.7553,7.3505,7.1481,12.9565
Ginger,2015,6.7941,6.5833,6.6391,6.4894,11.0961,4.3188,3.8902,6.6127,5.7485,7.1839,5.7857,7.8563,3.7741,6.989,7.7727,13.6
Ginger,2016,6.7634,6.1184,6.4921,6.6667,11.2763,4.5172,4.0122,6.6377,5.845,7.1402,5.6727,7.8598,3.8034,7.3146,7.7931,13.5692
Ginger,2017,6.8195,6.0377,7.6243,6.6485,9.7698,4.6235,4.1176,6.662,5.8503,7.058,5.5364,7.67,3.9429,7.2135,7.2571,13.4091
Ginger,2018,7.2205,5.9226,7.6385,6.92,10.3923,4.6341,4.1236,6.6356,5.552,7.0691,5.5856,7.7075,3.9605,7.186,6.5714,13.8615
Bottle_Gourd,2014,7.3149,15.8058,12.9252,14.6282,10.3095,6.1368,12.8301,11.1858,10.2842,11.4334,10.0261,9.4032,7.9777,12.072,12.7703,13.2188
Bottle_Gourd,2015,6.6298,15.671,12.9245,13.3144,10.2596,6.4227,12.6654,11.1327,8.9553,11.1618,9.1717,9.3886,7.7857,11.9344,12.8875,13.4286
Bottle_Gourd,2016,6.5754,15.4466,12.1022,14.0757,9.9899,6.0784,12.2662,11.0804,8.1489,11.0677,9.2928,9.4674,7.8265,11.6228,12.0108,13.7213
Bottle_Gourd,2017,6.7654,15.2068,11.6945,15.4352,10.9664,6.025,11.5458,10.8705,8.2085,10.9274,9.341,9.381,7.9118,11.887,12.3571,13.746
Bottle_Gourd,2018,6.4722,14.4846,10.8303,15.1153,10.5702,6.0331,11.8374,10.8546,7.9429,10.9324,9.4269,9.3221,7.8543,12.0826,11.5818,13.7656
Snap_Beans,2014,6.3071,1.9779,4.0823,2.1429,2.3415,0,3.0766,4.1053,3.431,3.859,3.62,6.1667,1.1119,3.9394,1.4,1.3333
Snap_Beans,2015,6.281,2.0112,4.4523,2.5882,2.5181,3,3.1525,4.0263,3.2942,4.0519,4.2222,6.2903,1.0867,3.5873,2.5667,2
Snap_Beans,2016,6.3387,2.381,4.4325,2.8,2.375,5,3.3839,3.9722,3.3719,3.961,5.1,6.1649,0.9934,3.0735,2.3846,2.5
Snap_Beans,2017,6.181,2.5066,4.2674,2.8667,2.4588,4,3.5045,3.973,3.2863,3.8133,4.9512,6.28,1.1742,3.0822,2.1379,2.5
Snap_Beans,2018,6.3186,2.4342,4.2294,2.9333,2.6264,4,3.1577,4.1316,3.3659,3.8667,4.825,6.3148,1.1847,3.0822,1.6667,2.5
Lettuce,2014,7.7305,0,1,0,13.0476,3,0,5,5.3684,1,4.8,10.7256,1.5,2.1304,10,0
Lettuce,2015,7.6688,0,1.3333,0,12.0769,3.5,0,6.1111,4.7586,1,6,11.5435,1.5,2.1304,0,0
Lettuce,2016,7.3333,0,1,1,12.1852,4,0,5.5556,5.0476,0.5,6,11.2887,4.25,2.8333,3,0
Lettuce,2017,7.5093,0,1,3,11.3871,4,0,6,5.5048,0.3333,5.75,11.4762,5.5455,2.8333,13.3333,0
Lettuce,2018,7.4257,0,1,0.6667,11.0303,2.6667,0,6,6.2315,5,6,11.4437,5.3636,2.8333,13.3333,0
Mongo,2014,0.7964,1.2201,0.5271,0.7904,0.6739,0.7526,0.7155,0.5143,0.493,0.6235,0.9715,0.7485,0.7031,0.795,0.8792,0.656
Mongo,2015,0.7853,1.2046,0.6038,0.8446,0.7464,0.7805,0.691,0.4971,0.5085,0.642,1.0691,0.7525,0.6988,0.777,1.0913,1.4144
Mongo,2016,0.7898,1.2574,0.5918,0.8702,0.7376,0.6855,0.7054,0.5203,0.4813,0.6118,1.0711,0.75,0.6963,0.7455,1.0255,1.4119
Mongo,2017,0.8222,1.3143,0.5644,0.9441,0.7029,0.7182,0.7182,0.5418,0.4886,0.5935,1.087,0.7465,0.7085,0.7392,1.1286,1.4117
Mongo,2018,0.7323,1.3327,0.5371,1.2067,0.6406,0.731,0.6927,0.5775,0.4865,0.5451,1.1043,0.7123,0.7123,0.75,1.0231,1.4627
Okra,2014,2.381,9.6022,7.8979,14.2644,9.8521,2.5254,10.2784,6.5586,6.9125,6.0704,6.2857,5.4487,2.8465,4.6891,5.6667,1.7273
Okra,2015,2.2727,9.328,8.4074,13.7397,10.1436,2.7479,10.1469,6.3939,6.6851,6.0338,6.6583,5.4418,2.7399,4.6116,5.4224,1.95
Okra,2016,2.4211,9.0348,8.4541,13.7805,9.4457,2.8976,10.1657,6.7197,6.3906,5.9597,6.4793,5.4281,2.7293,4.7107,5.4248,2
Okra,2017,2.45,9.119,8.5693,13.329,8.7047,2.9935,10.6229,6.9711,6.2897,5.6828,6.562,5.4638,2.8008,4.9496,5.5126,1.9524
Okra,2018,2.2632,9.128,8.4992,12.1976,8.1378,3.0191,10.72,7.2465,5.9563,5.6573,6.7154,5.4457,2.7764,5.0789,5.2619,2.087
Onion,2014,0,8.6589,11.5576,16.7031,4.191,6.9448,0,3.3333,5.6667,0,0.6667,0,0,6.3333,0,0
Onion,2015,0,8.7042,11.5255,15.6484,6.6222,8.3037,0,4.4328,1.3333,0,0.6667,0,0,6.625,1,0
Onion,2016,0,8.7416,11.716,10.0041,5.9722,8.6468,0,4.2769,1.2,0,0.3333,0,0,5.5,0,0
Onion,2017,0,8.9958,12.1857,10.7933,5.7,8.6398,0,4.3857,0.5556,0,0.5,0,0,5.6,10,0
Onion,2018,0,8.922,12.418,10.0974,5.3793,8.2675,0,4.8649,0.5714,0,0,0,0,5.3333,0,0
Peanut,2014,0.5188,1.5811,1.0596,1.429,0.996,1.1237,0.7282,0.6445,0.8231,0.7217,1.5477,1.3727,1.0735,1.2449,1.1022,0.7052
Peanut,2015,0.4803,1.5402,1.2258,1.4343,1.0616,1.1768,0.7018,0.6518,0.8301,0.7471,1.7201,1.3995,1.0737,1.2661,1.3649,0.7116
Peanut,2016,0.4598,1.5239,1.2285,1.4327,1.0533,1.1267,0.7332,0.6563,0.8797,0.716,1.7977,1.3917,1.0643,1.1566,1.3514,0.6955
Peanut,2017,0.4575,1.64,1.2327,1.5334,1.0145,1.1546,0.7327,0.6976,0.8397,0.7284,1.8625,1.3881,1.1054,1.2455,0.302,3.5633
Peanut,2018,0.3589,1.6048,1.2483,1.4351,1.0156,1.1726,0.7561,0.7197,0.861,0.7295,1.8146,1.3954,1.1109,1.3555,0.3346,3.3276
ChinesePechay,2014,16.1984,5,5.2593,0,4.9355,0,0,0,9.7079,1,7,7.6871,3.9474,5.6812,0,0
